Product, Pack size, Quoted Pack Price, Unit of Measure, Multiplier, Unit Price, Incoterm, Supplier, Manufacturer, Qty, Total Spend (USD), Comparison Price, Notes, Potential Savings
"Insulin Human Zinc Suspension + vial + 100iu + + Lente", 10, 23.0, vial, 10, 2.3, DDP, Novo Nordisk A/S, see tender doc, 34044.0, 783012, , , 
"SODIUM CHLORIDE - DEXTROSE + INJECTION + + 500ML + ISOTONIC DNS - Plastic Bottle", 24, 0.31, ml, 12000, 2.58333333333e-05, DDP, Claris life  sciences Limited, see tender doc, 2464008.0, 752813, , , 
"Insulin Human + powder for injection + 100iu + + Soluble", 10, 23.0, vial, 10, 2.3, DDP, Novo Nordisk A/S, see tender doc, 31897.0, 733631, , , 
"Sodium Chloride + injection + 0.9% + 1000ml", 12, 7.79, ml, 12000, 0.000649166666667, DDP, Nirma Limited, see tender doc, 83935.0, 653433, , , 
"Ciprofloxacin + tablet + 500 mg", 100, 2.59, cap/tab, 100, 0.0259, DDP, Keko Pharmaceticals Industries (1997) Ltd, see tender doc, 241542.0, 625593, , , 
"Procaine Penicillin + powder for injection + + 4 Mu + Fortified", 50, 8.5, vial, 50, 0.17, DDP, Bahari Pharmacy Ltd, see tender doc, 73007.0, 620559, , , 
"Povidone Iodine + Liquid + 10% + 250 ml", 1, 1.95, ml, 250, 0.0078, DDP, Jilichem (T) Ltd, see tender doc, 298383.0, 581846, , , 
"Water For Injection + vial + + 10ml", 100, 2.94, ml, 1000, 0.00294, DDP, Nirma Limited, see tender doc, 191155.0, 561517, , , 
"Ephedrine + tablet + 30 Mg", 1000, 9.24, cap/tab, 1000, 0.00924, DDP, Planet Pharmaceutical Ltd, see tender doc, 60743.0, 561265, , , 
"Chlorpromazine + tablet + 100mg + + coated", 1000, 19.09, cap/tab, 1000, 0.01909, DDP, IDA Foundation, see tender doc, 26988.0, 515200, , , 
"Quinine+ injection + 300mg/Ml + 2ml", 10, 1.78, ml, 20, 0.089, DDP, Jilichem (T) Ltd, see tender doc, 282639.0, 503097, , , 
"Acetylsalicylic acid + tablet +300 mg + + aspirin", 1000, 2.1, cap/tab, 1000, 0.0021, DDP, Jilichem (T) Ltd, see tender doc, 235949.0, 495492, , , 
"Methylated Spirit + Liquid + 70% + 5 litres", 1, 6.25, litre, 5, 1.25, DDP, SG Star Pharmaceutical Limited, see tender doc, 75224.0, 470150, , , 
"Erythromycin + powder for suspension + 125 Mg/5 Ml + 100 ml", 1, 0.44, ml, 100, 0.0044, DDP, Samiro Pharmacy, see tender doc, 1042604.0, 458745, , , 
"Chloramphenicol + ointment +  1% + 3.5g", 100, 9.58, g, 500, 0.01916, DDP, Galentic Pharma (India) PVT Ltd, see tender doc, 43116.0, 413051, , , 
"Ceftriaxone + Powder for injection + 250 Mg", 20, 2.4, vial, 20, 0.12, DDP, CSPC Zhongnuo Pharmaceutical, see tender doc, 162941.0, 391058, , , 
"Benzathine Penicillin + powder for injection + + 2.4 Mu +  Fortified", 50, 8.06, vial, 50, 0.1612, DDP, Bahari Pharmacy Ltd, see tender doc, 44053.0, 355067, , , 
"Aminophylline + tablet + 100 mg", 1000, 3.64, cap/tab, 1000, 0.00364, DDP, Jilichem (T) Ltd, see tender doc, 86208.0, 313797, , , 
"Clotrimazole +Ointment + 1% +20g", 24, 3.48, g, 480, 0.00725, DDP, Galentic Pharma (India) PVT Ltd, see tender doc, 86256.0, 300584, , , 
"Phenobarbital + tablet + 30 Mg", 1000, 3.6, cap/tab, 1000, 0.0036, DDP, Planet Pharmaceutical Ltd, see tender doc, 79296.0, 285465, , , 
"Lignocaine + vial + 2% + 50ml", 10, 4.45, vial, 10, 0.445, DDP, HV International, see tender doc, 63964.0, 284639, , , 
"Folic Acid+  tablet + 5 Mg", 1000, 2.22, cap/tab, 1000, 0.00222, DDP, IDA Foundation, see tender doc, 127298.0, 282601, , , 
"Diclofenac + tablet + 50 Mg", 100, 0.3, cap/tab, 100, 0.003, DDP, Samiro Pharmacy, see tender doc, 814555.0, 244366, , , 
"Magnesium Trisilicate Bpc Compound + tablet", 1000, 2.17, cap/tab, 1000, 0.00217, DDP, Astra Life Care, see tender doc, 99797.0, 216559, , , 
"Phenytoin+  tablet + 100 Mg", 1000, 4.52, cap/tab, 1000, 0.00452, DDP, Medopharm PVT Ltd, see tender doc, 47262.0, 213624, , , 
"Adrenaline + ampoule + 1mg/Ml + 1ml", 10, 1.57, ampoule, 10, 0.157, DDP, HV International, see tender doc, 131673.0, 206726, , , 
"Diazepam + ampoule + 5 Mg/Ml + 2ml", 10, 0.97, ml, 20, 0.0485, DDP, Tata Africa Holdings Ltd, see tender doc, 182787.0, 177668, , , 
"Ergometrine + injection + 0.5mg/Ml + 1ml", 10, 1.66, ml, 10, 0.166, DDP, Vital Healthcare, see tender doc, 106572.0, 176909, , , 
"Albendazole + tablet + 200 Mg", 100, 0.97, cap/tab, 100, 0.0097, DDP, Medopharm PVT Ltd, see tender doc, 177717.0, 172385, , , 
"Oxytetracycline + Ointment + + 5g", 20, 1.92, g, 70, 0.0274285714286, DDP, Galentic Pharma (India) PVT Ltd, see tender doc, 55255.0, 106200, , , 
"Chlorpheniramine +tablet + 4 mg", 1000, 0.89, cap/tab, 1000, 0.00089, DDP, Astra Life Care, see tender doc, 102405.0, 91140, , , 
"Benzoic Acid Compound + Ointment + 6% and 3% + 40 g + Whitfield", 1, 0.4, g, 40, 0.01, DDP, Jilichem (T) Ltd, see tender doc, 190539.0, 76215, , , 
