PRODUCT No.,PRODUCT,Unit Pack Size, Unit Price ,qty,Manufacturer,UOM,Multiplier
33,Chlorpromazine  + tablet + 25 mg + + hydrochloride,1000, $29.640 ,30000,,cap/tab,1000
26,Cloxacillin + powder for suspension + 125 mg/5ml + 100ml,1, $0.894 ,100000,,ml,100
25,Cloxacillin + capsule + 250 mg,1000, $28.392 ,50000,BF Dongri/India,cap/tab,1000
39,Cloxacillin + powder for injection + 500 mg + + as sodium salt,1, $3.536 ,80000,,mg,500
43,Co-amiloride+ tablet + 5/50 mg,1000, $27.456 ,50000,,cap/tab,1000
40,Co-trimoxazole + liquid + 240 mg/5ml + 60ml,1, $0.416 ,800000,Okasa/India,ml,60
116,Cyclophosphamide + powder for injection + 500 mg,1, $9.724 ,3000,,mg,500
9,Dexamethasone Sodium Phosphate +ampoule + 4 mg/ml + 1ml,1, $0.187 ,180000,Ciron/India,ampoule,1
15,Diazepam + tablet + 5 mg + + CD,1000, $3.338 ,13633,Healthy/India,cap/tab,1000
57,Digoxin + ampoule + 250 mcg/ml,1, $2.694 ,16000,Ciron/India,ampoule,1
56,Digoxin + tablet + 250 mcg,100, $3.318 ,6000,Kwality/India,cap/tab,100
51,Doxycycline + tablet + 100 mg + + as hyclate,1000, $20.384 ,20000,,cap/tab,1000
52,"Enoxaparin sodium + syringe + 40mg + 0.4 ml + (40mg , 4000 units) syringe ",1, $29.536 ,5000,,syringe,1
35,Erythromycin  + cap/tab + 250 mg,1000, $38.397 ,35330,Okasa/India,cap/tab,1000
36,Erythromycin + suspension + 125 mg/5ml + 100ml,1, $2.007 ,100000,Ningxia/China,ml,100
63,Erythropoetin + injection + + 2000 IU,1, $10.244 ,8000,,IU,2000
44,Fluconazole + capsule + 200mg,100, $5.866 ,50000,Medopharm/India,cap/tab,100
45,Fluconazole + injection + 2 mg/ml,1, $3.567 ,50000,Okasa/India,ampoule,1
64,Frusemide + injection + 10 mg/ml + 2ml,1, $0.385 ,250000,Okasa/India,ampoule,1
62,Frusemide + tablet + 40 mg,1000, $7.904 ,20000,Microlabs/India,cap/tab,1000
37,Gentamicin + injection + 40 mg/ml + 2ml,1, $0.156 ,1500000,Wuhan/China,ampoule,1
72,Gentamicin + eye/ear drops + 0.3% + 5ml,1, $0.811 ,10000,,ml,5
82,Haloperidol + injection + 5 mg/ml + 1ml,1, $0.468 ,80000,Ciron/India,ampoule,1
46,Heparin sodium+  Injection + 5000 IU/ml,1, $29.536 ,20000,Ciron/India,ampoule,1
60,Hydralazine + injection + 20 mg/ml + 1ml,1, $1.893 ,40000,Ciron/India,ampoule,1
59,Hydralazine + tablet + 25 mg,1000, $42.442 ,6000,Kwality/India,cap/tab,1000
74,Hydrocortisone + ointment + 1% + 15g + acetate,1, $1.945 ,100000,Kwality/India,g,15
73,Hydrocortisone + eyedrops  + 1 %  + + acetate,1, $1.830 ,10000,,item,1
11,Hydrocortisone + injection + + 100 mg,1, $0.728 ,400000,Kwality/India,ampoule,1
94,Hyoscine butylbromide + Injection + 600 mcg/ml,1, $1.737 ,20000,,ampoule,1
97,Hyoscine butylbromide + tablet + 10 mg,100, $29.598 ,50000,,cap/tab,100
,Imipramine + tablet + 25mg,1000, $23.000 ,2500,Kwality/India,cap/tab,1000
152,Ketamine+  injection + 50mg/ml + 10 ml,1, $3.245 ,80000,,ml,10
2,Lidocaine + Injection + 2% + + Hcl,1, $0.707 ,64000,Kwality/India,ampoule,1
16,Magnesium sulphate +  injection + 500 mg/ml,1, $0.926 ,150000,Ciron/India,ampoule,1
98,Magnesium trisilicate compound + tablet,1000, $6.906 ,80000,,cap/tab,1000
61,Methyldopa + tablet + 250 mg,1000, $44.928 ,15000,Ningxia/China,cap/tab,1000
69,Metoclopramide + injection + 5 mg/ml,1, $0.177 ,14506,Ciron/India,ampoule,1
102,Metoclopramide + Tablet + 10 mg + + hydrochloride,1000, $11.544 ,10000,,cap/tab,1000
7,Morphine + ampoule + 10 mg/ml + 1ml +CD,1, $6.617 ,5000,Cardinal/UK,ampoule,1
103,Nalidixic acid  + cap/tab + 500 mg ,1000, $40.466 ,50000,,cap/tab,1000
55,Nifedipine+  tablet + 20 mg,1000, $23.816 ,20000,,cap/tab,1000
95,Oral Rehydration Salts + powder+ + + WHO Citrate,1, $0.187 ,3000000,S Kant/India,item,1
104,Pancuronium + ampoule + 2 mg/ml + 2ml,1, $1.934 ,50000,,ampoule,1
17,Phenobarbital + tablet + 30 mg + + CD,1000, $5.949 ,20000,Kwality/India,cap/tab,1000
106,Phenoxymethylpenicillin  + Powder for suspension + 125 mg/5 ml  + 100 ml + as potassium salt,1, $2.059 ,500000,Kwality/India,ml,100
5,Potasium Chloride + tablet + 600 mg,500, $25.376 ,20000,,cap/tab,500
99,Potassium chloride + injectable solution + 11.2%,1, $3.515 ,53000,Kwality/India,ampoule,1
12,Procaine penicillin  + injection + + + 3 mega,1, $0.811 ,50000,,ampoule,1
70,Promethazine + injection + 25 mg/ml + 2ml,1, $0.562 ,300000,Wuhan/China,ampoule,1
96,Propofol + ampoule + 10mg/ml + 20 ml  + 1% Emulsion ,1, $20.592 ,50000,,ampoule,1
109,Pyridoxine + tablet + 50 mg,1000, $7.062 ,50000,S Kant/India,cap/tab,1000
34,Quinine + Tablet + 300 mg + + as sulfate,1000, $80.912 ,30000,,cap/tab,1000
67,Ranitidine + tablet + 150 mg,1000, $20.144 ,3000,Okasa/India,cap/tab,1000
92,Salbutamol + tablet + 2 mg,1000, $2.860 ,25000,Medopharm/India,cap/tab,1000
48,Suxamethonium Chloride + ampoule + 50 mg/ml,1, $0.874 ,50000,,ampoule,1
65,Tetracycline  + eye ointment + 1%,1, $0.620 ,50000,,item,1
78,Thiopental +  injection + 500 mg,1, $3.796 ,40000,,ampoule,1
76,sodium valproate + Tablet + 200 mg + + Valproic acid - enteric coated,100, $30.784 ,80000,,cap/tab,100
108,Water for injection + + 10 ml,1, $0.094 ,300000,Wuhan/China,ml,10
107,Water for injection + +  5 ml,1, $0.073 ,1500000,Wuhan/China,ml,5
3 (1b),Carbamazepine + tablet + 200 mg,1000, $23.514 ,53000,Ningxia/China,cap/tab,1000
8 (1b),Folic Acid + tablet + 5 mg,1000, $3.286 ,60000,Wuhan/China,cap/tab,1000
7 (1b),Ibuprofen + tablet + 200 mg,1000, $5.741 ,150000,Okasa/India,cap/tab,1000
13 (1b),Morphine HCL + powder for injection + + 5g + plastic bottle CD,1, $74.460 ,4500,Cardinal/UK,g,5
14 (1b),Nalidixic + Suspension + 300 mg/ml + 100ml,1, $2.881 ,30000,Ciron/India,ml,100
1 (1b),Paracetamaol + tablet + 500 mg + + Scored,1000, $7.644 ,170000,Okasa/India,cap/tab,1000
17 (1b),Pethidine HCL + ampoule + 50 mg/ml + 2ml + IM Inj ampoule (CD),1, $5.647 ,25000,Cardinal/UK,ampoule,1
18 (1b),Pethidine HCL +ampoule + 50 mg/ml + 2ml + IM Inj ampoule (CD),1, $4.950 ,25000,Cardinal/UK,ampoule,1
18 B (1b),Phenobarbitone + injection + 200 mg/ml + 1ml + CD,10, $46.457 ,53000,Cardinal/UK,ampoule,10
10 (1b),Phytomenadione + injection + 10 mg/ml,1, $0.302 ,85000,Ciron/India,ampoule,1
21 (1b),Prednisolone + tablet + 5 mg,1000, $15.340 ,30000,Microlabs/India,cap/tab,1000
4 (1b),Quinine Di-hydrchloride +ampoule + 300 mg/ml + 2 ml,1, $0.343 ,1000000,Wuhan/China,ampoule,1
23 (1b),Salbutamol + Inhaler + 0.1 mg + 200 doses,1, $2.600 ,50000,Okasa/India,item,1
24 (1b),Vincristine Sulphate + Injection + 1 mg/ml + + liquid,1, $3.609 ,100000,Okasa/India,ampoule,1
