Bidder No.,Supplier,Item Number,Product,Pack Size,Curr.,Pack price, Msd Price(TSH) , Quantity ,Total Amount,UOM,Multiplier
27,Medopharm PVT Ltd,10010048MD,Phenytoin+  tablet + 100 Mg,1000,USD,4.52,6000.00,47262.00,213624.24,cap/tab,1000
27,Medopharm PVT Ltd,10010003MD,Albendazole + tablet + 200 Mg,100,USD,0.97,2000.00,177717.00,172385.49,cap/tab,100
30,Pyramid Pharma,10010013MD,Chloramphenicol  + capsule + 250 mg,1000,USD,25.43,29000.00,55951.00,1422933.24,cap/tab,1000
32,Fresenius Kabi,10020008MD,Dextrose + Injection + 10% + 500ml,24,USD,11.13,16000.00,116336.00,1294587.01,ml,12000
37,Jilichem (T) Ltd,10010001MD,Acetylsalicylic acid + tablet +300 mg + + aspirin,1000,USD,2.10,3800.00,235949.00,495492.90,cap/tab,1000
37,Jilichem (T) Ltd,10010005MD,Aminophylline + tablet + 100 mg,1000,USD,3.64,6400.00,86208.00,313797.12,cap/tab,1000
37,Jilichem (T) Ltd,10050004MD,Benzoic Acid Compound + Ointment + 6% and 3% + 40 g + Whitfield,1,USD,0.40,600.00,190539.00,76215.60,g,40
37,Jilichem (T) Ltd,10050010MD,Oral Rehydration Salts + powder + + + sachet for 1 Litre,100,USD,10.00,13000.00,211391.00,2113910.00,sachet,100
37,Jilichem (T) Ltd,10040015MD,Co-Trimoxazole + Suspension + 200/40mg/5ml + 100ml,24,USD,9.12,14500.00,169443.00,1545320.16,ml,2400
37,Jilichem (T) Ltd,10040012MD,Paracetamol + Syrup + 120mg/5mls + 100ml,24,USD,9.12,18000.00,146326.00,1334493.12,ml,2400
37,Jilichem (T) Ltd,10070003MD,Chlorhexidine Cetrimide +  Liquid + 1.5% and 15% + 5 litres + Savlon,1,USD,17.57,22000.00,83784.00,1472084.88,litre,5
37,Jilichem (T) Ltd,10070010MD,Povidone Iodine + Liquid + 10% + 250 ml,1,USD,1.95,,298383.00,581846.85,ml,250
37,Jilichem (T) Ltd,10060048MD,Quinine+ injection + 300mg/Ml + 2ml ,10,USD,1.78,3600.00,282639.00,503097.42,ml,20
38,IDA Foundation,10010028MD,Folic Acid+  tablet + 5 Mg,1000,USD,2.22,2600.00,127298.00,282601.56,cap/tab,1000
38,IDA Foundation,10060016MA,Chlorpromazine + tablet + 100mg + + coated,1000,USD,19.09,,26988.00,515200.92,cap/tab,1000
40,Claris life  sciences Limited,10020011MD,SODIUM CHLORIDE - DEXTROSE + INJECTION + + 500ML + ISOTONIC DNS - Plastic Bottle,24,USD,0.31,21000.00,2464008.00,752813.11,ml,12000
42, Vital Healthcare,10060028MD,Ergometrine + injection + 0.5mg/Ml + 1ml ,10,USD,1.66,8000.00,106572.00,176909.52,ml,10
44,Keko Pharmaceticals Industries (1997) Ltd,10010007MD,Amoxicillin + capsule + 250 mg,1000,USD,13.30,30000.00,354839.00,4719358.70,cap/tab,1000
44,Keko Pharmaceticals Industries (1997) Ltd,10010059MD,Ciprofloxacin + tablet + 500 mg,100,USD,2.59,5800.00,241542.00,625593.78,cap/tab,100
44,Keko Pharmaceticals Industries (1997) Ltd,10010019MD,Cloxacillin + capsule + 250 mg,1000,USD,12.11,32000.00,126330.00,1529856.30,cap/tab,1000
44,Keko Pharmaceticals Industries (1997) Ltd,10010020MD,Folic Acid + tablet + 5 Mg,1000,USD,8.17,16500.00,319433.00,2609767.61,cap/tab,1000
44,Keko Pharmaceticals Industries (1997) Ltd,10010026MD,Erythromycin + tablet + 250 Mg,1000,USD,16.31,59000.00,183792.00,2997647.52,cap/tab,1000
44,Keko Pharmaceticals Industries (1997) Ltd,10010040MD,Metronidazole + tablet + 200 Mg,1000,USD,3.39,7000.00,234574.00,795205.86,cap/tab,1000
44,Keko Pharmaceticals Industries (1997) Ltd,10010044MD,Paracetamol + tablet + 500 Mg,1000,USD,3.37,7000.00,541474.00,1824767.38,cap/tab,1000
44,Keko Pharmaceticals Industries (1997) Ltd,10010202MD,Quinine + tablet + 300 Mg,500,USD,18.97,49000.00,126309.00,2396081.73,cap/tab,5000
44,Keko Pharmaceticals Industries (1997) Ltd,10010047MD,Phenoxymethyl Penicillin + tablet +250 Mg,1000,USD,9.51,25000.00,208979.00,1987390.29,cap/tab,1000
47,Galentic Pharma (India) PVT Ltd,10050013MD,Chloramphenicol + ointment +  1% + 3.5g,100,USD,9.58,18000.00,43116.00,413051.28,g,500
47,Galentic Pharma (India) PVT Ltd,10050014MD,Clotrimazole +Ointment + 1% +20g,24,USD,3.48,7500.00,86256.00,300584.91,g,480
47,Galentic Pharma (India) PVT Ltd,10050015MD,Oxytetracycline + Ointment + + 5g,20,USD,1.92,7100.00,55255.00,106200.11,g,70
